;#	通用字体	部首	総画数	読み
1404	頂	181頁	11	チョウ、いただ-く、いただき
1405	鳥	196鳥	11	チョウ、とり
1406	朝	074月	12	チョウ、あさ
1407	貼	154貝	12	チョウ、は-る
1408	超	156走	12	チョウ、こ-える、こ-す
1409	腸	130肉	13	チョウ
1410	跳	157足	13	チョウ、は-ねる、と-ぶ
1411	徴	060彳	14	チョウ
1412	嘲	030口	15	チョウ、あざけ-る
1413	潮	085水	15	チョウ、しお
1414	澄	085水	15	チョウ、す-む、す-ます
1415	調	149言	15	チョウ、しら-べる、ととの-う、ととの-える
1416	聴	128耳	17	チョウ、き-く
1417	懲	061心	18	チョウ、こ-りる、こ-らす、こ-らしめる
1418	直	109目	8	チョク、ジキ、ただ-ちに、なお-す、なお-る
1419	勅	019力	9	チョク
1420	捗	064手	10	チョク
1421	沈	085水	7	チン、しず-む、しず-める
1422	珍	096玉	9	チン、めずら-しい
1423	朕	074月	10	チン
1424	陳	170阜	11	チン
1425	賃	154貝	13	チン
1426	鎮	167金	18	チン、しず-める、しず-まる
1427	追	162?	9	ツイ、お-う
1428	椎	075木	12	ツイ
1429	墜	032土	15	ツイ
1430	通	162?	10	ツウ、（ツ）、とお-る、とお-す、かよ-う
1431	痛	104?	12	ツウ、いた-い、いた-む、いた-める
1432	塚	032土	12	つか
1433	漬	085水	14	つ-ける、つ-かる
1434	坪	032土	8	つぼ
1435	爪	087爪	4	つめ、（つま）
1436	鶴	196鳥	21	つる
1437	低	009人	7	テイ、ひく-い、ひく-める、ひく-まる
1438	呈	030口	7	テイ
1439	廷	054廴	7	テイ
1440	弟	057弓	7	テイ、（ダイ）、（デ）、おとうと
1441	定	040宀	8	テイ、ジョウ、さだ-める、さだ-まる、さだ-か
1442	底	053广	8	テイ、そこ
1443	抵	064手	8	テイ
1444	邸	163邑	8	テイ
1445	亭	008亠	9	テイ
1446	貞	154貝	9	テイ
1447	帝	050巾	9	テイ
1448	訂	149言	9	テイ
1449	庭	053广	10	テイ、にわ
1450	逓	162?	10	テイ
1451	停	009人	11	テイ
1452	偵	009人	11	テイ
1453	堤	032土	12	テイ、つつみ
1454	提	064手	12	テイ、さ-げる
1455	程	115禾	12	テイ、ほど
1456	艇	137舟	13	テイ
1457	締	120糸	15	テイ、し-まる、し-める
1458	諦	149言	16	テイ、あきら-める
1459	泥	085水	8	デイ、どろ
1460	的	106白	8	テキ、まと
1461	笛	118竹	11	テキ、ふえ
1462	摘	064手	14	テキ、つ-む
1463	滴	085水	14	テキ、しずく、したた-る
1464	適	162?	14	テキ
1465	敵	066攴	15	テキ、かたき
1466	溺	085水	13	デキ、おぼ-れる
1467	迭	162?	8	テツ
1468	哲	030口	10	テツ
1469	鉄	167金	13	テツ
1470	徹	060彳	15	テツ
1471	撤	064手	15	テツ
1472	天	037大	4	テン、あめ、（あま）
1473	典	012八	8	テン
1474	店	053广	8	テン、みせ
1475	点	203黑	9	テン
1476	展	044尸	10	テン
1477	添	085水	11	テン、そ-える、そ-う
1478	転	159車	11	テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ
1479	?	032土	13	テン
1480	田	102田	5	デン、た
1481	伝	009人	6	デン、つた-わる、つた-える、つた-う
1482	殿	079殳	13	デン、テン、との、どの
1483	電	173雨	13	デン
1484	斗	068斗	4	ト
1485	吐	030口	6	ト、は-く
1486	妬	038女	8	ト、ねた-む
1487	徒	060彳	10	ト
1488	途	162?	10	ト
1489	都	163邑	11	ト、ツ、みやこ
1490	渡	085水	12	ト、わた-る、わた-す
1491	塗	032土	13	ト、ぬ-る
1492	賭	154貝	16	ト、か-ける
1493	土	032土	3	ド、ト、つち
1494	奴	038女	5	ド
1495	努	019力	7	ド、つと-める
1496	度	053广	9	ド、（ト）、（タク）、たび
1497	怒	061心	9	ド、いか-る、おこ-る
1498	刀	018刀	2	トウ、かたな
1499	冬	015冫	5	トウ、ふゆ
1500	灯	086火	6	トウ、ひ
1501	当	102田	6	トウ、あ-たる、あ-てる
1502	投	064手	7	トウ、な-げる
1503	豆	151豆	7	トウ、（ズ）、まめ
1504	東	075木	8	トウ、ひがし
1505	到	018刀	8	トウ
1506	逃	162?	9	トウ、に-げる、に-がす、のが-す、のが-れる
1507	倒	009人	10	トウ、たお-れる、たお-す
1508	凍	015冫	10	トウ、こお-る、こご-える
1509	唐	030口	10	トウ、から
1510	島	046山	10	トウ、しま
1511	桃	075木	10	トウ、もも
1512	討	149言	10	トウ、う-つ
1513	透	162?	10	トウ、す-く、す-かす、す-ける
1514	党	203黑	10	トウ
1515	悼	061心	11	トウ、いた-む
1516	盗	108皿	11	トウ、ぬす-む
1517	陶	170阜	11	トウ
1518	塔	032土	12	トウ
1519	搭	064手	12	トウ
1520	棟	075木	12	トウ、むね、（むな）
1521	湯	085水	12	トウ、ゆ
1522	痘	104?	12	トウ
1523	登	105癶	12	トウ、ト、のぼ-る
1524	答	118竹	12	トウ、こた-える、こた-え
1525	等	118竹	12	トウ、ひと-しい
1526	筒	118竹	12	トウ、つつ
1527	統	120糸	12	トウ、す-べる
1528	稲	115禾	14	トウ、いね、（いな）
1529	踏	157足	15	トウ、ふ-む、ふ-まえる
1530	糖	119米	16	トウ
1531	頭	181頁	16	トウ、ズ、（ト）、あたま、かしら
1532	謄	149言	17	トウ
1533	藤	140艸	18	トウ、ふじ
1534	闘	191鬥	18	トウ、たたか-う
1535	騰	187馬	20	トウ
1536	同	030口	6	ドウ、おな-じ
1537	洞	085水	9	ドウ、ほら
1538	胴	130肉	10	ドウ
1539	動	019力	11	ドウ、うご-く、うご-かす
1540	堂	032土	11	ドウ
1541	童	117立	12	ドウ、わらべ
1542	道	162?	12	ドウ、（トウ）、みち
1543	働	009人	13	ドウ、はたら-く
1544	銅	167金	14	ドウ
1545	導	041寸	15	ドウ、みちび-く
1546	瞳	109目	17	ドウ、ひとみ
1547	峠	046山	9	とうげ
1548	匿	023匸	10	トク
1549	特	093牛	10	トク
1550	得	060彳	11	トク、え-る、う-る
1551	督	109目	13	トク
1552	徳	060彳	14	トク
1553	篤	118竹	16	トク
1554	毒	080毋	8	ドク
1555	独	094犬	9	ドク、ひと-り
1556	読	149言	14	ドク、トク、（トウ）、よ-む
1557	栃	075木	9	（とち）[6]
1558	凸	017凵	5	トツ
1559	突	116穴	8	トツ、つ-く
1560	届	044尸	8	とど-ける、とど-く
1561	屯	045?	4	トン
1562	豚	152豕	11	トン、ぶた
1563	頓	181頁	13	トン
1564	貪	154貝	11	ドン、むさぼ-る
1565	鈍	167金	12	ドン、にぶ-い、にぶ-る
1566	曇	072日	16	ドン、くも-る
1567	丼	003丶	5	どんぶり、（どん）
1568	那	163邑	7	ナ
1569	奈	037大	8	ナ
1570	内	011入	4	ナイ、（ダイ）、うち
1571	梨	075木	11	なし
1572	謎	149言	17	なぞ
1573	鍋	167金	17	なべ
1574	南	024十	9	ナン、（ナ）、みなみ
1575	軟	159車	11	ナン、やわ-らか、やわ-らかい
1576	難	172隹	18	ナン、かた-い、むずか-しい
1577	二	007二	2	ニ、ふた、ふた-つ
1578	尼	044尸	5	ニ、あま
1579	弐	154貝	6	ニ
1580	匂	020勹	4	にお-う
1581	肉	130肉	6	ニク
1582	虹	142虫	9	にじ
1583	日	072日	4	ニチ、ジツ、ひ、か
1584	入	011入	2	ニュウ、い-る、い-れる、はい-る
1585	乳	005乙	8	ニュウ、ちち、ち
1586	尿	044尸	7	ニョウ
1587	任	009人	6	ニン、まか-せる、まか-す
1588	妊	038女	7	ニン
1589	忍	061心	7	ニン、しの-ぶ、しの-ばせる
1590	認	149言	14	ニン、みと-める
1591	寧	040宀	14	ネイ
1592	熱	086火	15	ネツ、あつ-い
1593	年	051干	6	ネン、とし
1594	念	061心	8	ネン
1595	捻	064手	11	ネン
1596	粘	119米	11	ネン、ねば-る
1597	燃	086火	16	ネン、も-える、も-やす、も-す
1598	悩	061心	10	ノウ、なや-む、なや-ます
1599	納	120糸	10	ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる
1600	能	130肉	10	ノウ
1601	脳	130肉	11	ノウ
1602	農	161辰	13	ノウ
1603	濃	085水	16	ノウ、こ-い
1604	把	064手	7	ハ
1605	波	085水	8	ハ、なみ
1606	派	085水	9	ハ
1607	破	112石	10	ハ、やぶ-る、やぶ-れる
1608	覇	146襾	19	ハ
1609	馬	187馬	10	バ、うま、（ま）
1610	婆	038女	11	バ
1611	罵	122网	15	バ、ののし-る
1612	拝	064手	8	ハイ、おが-む
1613	杯	075木	8	ハイ、さかずき
1614	背	130肉	9	ハイ、せ、せい、そむ-く、そむ-ける
1615	肺	130肉	9	ハイ
1616	俳	009人	10	ハイ
1617	配	164酉	10	ハイ、くば-る
1618	排	064手	11	ハイ
1619	敗	066攴	11	ハイ、やぶ-れる
1620	廃	053广	12	ハイ、すた-れる、すた-る
1621	輩	159車	15	ハイ
1622	売	154貝	7	バイ、う-る、う-れる
1623	倍	009人	10	バイ
1624	梅	075木	10	バイ、うめ
1625	培	032土	11	バイ、つちか-う
1626	陪	170阜	11	バイ
1627	媒	038女	12	バイ
1628	買	154貝	12	バイ、か-う
1629	賠	154貝	15	バイ
1630	白	106白	5	ハク、ビャク、しろ、（しら）、しろ-い
1631	伯	009人	7	ハク
1632	拍	064手	8	ハク、（ヒョウ）
1633	泊	085水	8	ハク、と-まる、と-める
1634	迫	162?	8	ハク、せま-る
1635	?	018刀	10	ハク、は-がす、は-ぐ、は-がれる、は-げる
1636	舶	137舟	11	ハク
1637	博	024十	12	ハク、（バク）
1638	薄	140艸	16	ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-れる
1639	麦	199麥	7	バク、むぎ
1640	漠	085水	13	バク
1641	縛	120糸	16	バク、しば-る
1642	爆	086火	19	バク
1643	箱	118竹	15	はこ
1644	箸	118竹	15	はし
1645	畑	102田	9	はた、はたけ
1646	肌	130肉	6	はだ
1647	八	012八	2	ハチ、や、や-つ、やっ-つ、（よう）
1648	鉢	167金	13	ハチ、（ハツ）
1649	発	105癶	9	ハツ、ホツ
1650	髪	190髟	14	ハツ、かみ
1651	伐	009人	6	バツ
1652	抜	064手	7	バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる
1653	罰	122网	14	バツ、バチ
1654	閥	169門	14	バツ
1655	反	029又	4	ハン、（ホン）、（タン）、そ-る、そ-らす
1656	半	024十	5	ハン、なか-ば
1657	氾	085水	5	ハン
1658	犯	094犬	5	ハン、おか-す
1659	帆	050巾	6	ハン、ほ
1660	汎	085水	6	ハン
1661	伴	009人	7	ハン、バン、ともな-う
1662	判	018刀	7	ハン、バン
1663	坂	032土	7	ハン、さか
1664	阪	170阜	7	ハン
1665	板	075木	8	ハン、バン、いた
1666	版	091片	8	ハン
1667	班	096玉	10	ハン
1668	畔	102田	10	ハン
1669	般	137舟	10	ハン
1670	販	154貝	11	ハン
1671	斑	067文	12	ハン
1672	飯	184食	12	ハン、めし
1673	搬	064手	13	ハン
1674	煩	086火	13	ハン、（ボン）、わずら-う、わずら-わす
1675	頒	181頁	13	ハン
1676	範	118竹	15	ハン
1677	繁	120糸	16	ハン
1678	藩	140艸	18	ハン
1679	晩	072日	12	バン
1680	番	102田	12	バン
1681	蛮	142虫	12	バン
1682	盤	108皿	15	バン
1683	比	081比	4	ヒ、くら-べる
1684	皮	107皮	5	ヒ、かわ
1685	妃	038女	6	ヒ
1686	否	030口	7	ヒ、いな
1687	批	064手	7	ヒ
1688	彼	060彳	8	ヒ、かれ、（かの）
1689	披	064手	8	ヒ
1690	肥	130肉	8	ヒ、こ-える、こえ、こ-やす、こ-やし
1691	非	175非	8	ヒ
1692	卑	024十	9	ヒ、いや-しい、いや-しむ、いや-しめる
1693	飛	183飛	9	ヒ、と-ぶ、と-ばす
1694	疲	104?	10	ヒ、つか-れる
1695	秘	113示	10	ヒ、ひ-める
1696	被	145衣	10	ヒ、こうむ-る
1697	悲	061心	12	ヒ、かな-しい、かな-しむ
1698	扉	063?	12	ヒ、とびら
1699	費	154貝	12	ヒ、つい-やす、つい-える
1700	碑	112石	14	ヒ
1701	罷	122网	15	ヒ
1702	避	162?	16	ヒ、さ-ける
1703	尾	044尸	7	ビ、お
1704	眉	109目	9	ビ、（ミ）、まゆ
1705	美	123羊	9	ビ、うつく-しい
1706	備	009人	12	ビ、そな-える、そな-わる
1707	微	060彳	13	ビ
1708	鼻	209鼻	14	ビ、はな
1709	膝	130肉	15	ひざ
1710	肘	130肉	7	ひじ
1711	匹	023匸	4	ヒツ、ひき
1712	必	061心	5	ヒツ、かなら-ず
1713	泌	085水	8	ヒツ、ヒ
1714	筆	118竹	12	ヒツ、ふで
1715	姫	038女	10	ひめ
1716	百	106白	6	ヒャク
1717	氷	085水	5	ヒョウ、こおり、ひ
1718	表	145衣	8	ヒョウ、おもて、あらわ-す、あらわ-れる
1719	俵	009人	10	ヒョウ、たわら
1720	票	113示	11	ヒョウ
1721	評	149言	12	ヒョウ
1722	漂	085水	14	ヒョウ、ただよ-う
1723	標	075木	15	ヒョウ
1724	苗	140艸	8	ビョウ、なえ、（なわ）
1725	秒	115禾	9	ビョウ
1726	病	104?	10	ビョウ、（ヘイ）、や-む、やまい
1727	描	064手	11	ビョウ、えが-く、か-く
1728	猫	094犬	11	ビョウ、ねこ
1729	品	030口	9	ヒン、しな
1730	浜	085水	10	ヒン、はま
1731	貧	154貝	11	ヒン、ビン、まず-しい
1732	賓	154貝	15	ヒン
1733	頻	181頁	17	ヒン
1734	敏	066攴	10	ビン
1735	瓶	098瓦	11	ビン
1736	不	001一	4	フ、ブ
1737	夫	037大	4	フ、（フウ）、おっと
1738	父	088父	4	フ、ちち
1739	付	009人	5	フ、つ-ける、つ-く
1740	布	050巾	5	フ、ぬの
1741	扶	064手	7	フ
1742	府	053广	8	フ
1743	怖	061心	8	フ、こわ-い
1744	阜	170阜	8	（フ）[6]
1745	附	170阜	8	フ
1746	訃	149言	9	フ
1747	負	154貝	9	フ、ま-ける、ま-かす、お-う
1748	赴	156走	9	フ、おもむ-く
1749	浮	085水	10	フ、う-く、う-かれる、う-かぶ、う-かべる
1750	婦	038女	11	フ
1751	符	118竹	11	フ
1752	富	040宀	12	フ、（フウ）、と-む、とみ
1753	普	072日	12	フ
1754	腐	130肉	14	フ、くさ-る、くさ-れる、くさ-らす
1755	敷	066攴	15	フ、し-く
1756	膚	130肉	15	フ
1757	賦	154貝	15	フ
1758	譜	149言	19	フ
1759	侮	009人	8	ブ、あなど-る
1760	武	077止	8	ブ、ム
1761	部	163邑	11	ブ
1762	舞	136舛	15	ブ、ま-う、まい
1763	封	041寸	9	フウ、ホウ
1764	風	182風	9	フウ、（フ）、かぜ、（かざ）
1765	伏	009人	6	フク、ふ-せる、ふ-す
1766	服	074月	8	フク
1767	副	018刀	11	フク
1768	幅	050巾	12	フク、はば
1769	復	060彳	12	フク
1770	福	113示	13	フク
1771	腹	130肉	13	フク、はら
1772	複	145衣	14	フク
1773	覆	146襾	18	フク、おお-う、くつがえ-す、くつがえ-る
1774	払	064手	5	フツ、はら-う
1775	沸	085水	8	フツ、わ-く、わ-かす
1776	仏	009人	4	ブツ、ほとけ
1777	物	093牛	8	ブツ、モツ、もの
1778	粉	119米	10	フン、こ、こな
1779	紛	120糸	10	フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
1780	雰	173雨	12	フン
1781	噴	030口	15	フン、ふ-く
1782	墳	032土	15	フン
1783	憤	061心	15	フン、いきどお-る
1784	奮	037大	16	フン、ふる-う
1785	分	018刀	4	ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
1786	文	067文	4	ブン、モン、ふみ
1787	聞	128耳	14	ブン、モン、き-く、き-こえる
1788	丙	001一	5	ヘイ
1789	平	051干	5	ヘイ、ビョウ、たい-ら、ひら
1790	兵	012八	7	ヘイ、ヒョウ
1791	併	009人	8	ヘイ、あわ-せる
1792	並	117立	8	ヘイ、なみ、なら-べる、なら-ぶ、なら-びに
1793	柄	075木	9	ヘイ、がら、え
1794	陛	170阜	10	ヘイ
1795	閉	169門	11	ヘイ、と-じる、と-ざす、し-める、し-まる
1796	塀	032土	12	ヘイ
1797	幣	050巾	15	ヘイ
1798	弊	055廾	15	ヘイ
1799	蔽	140艸	15	ヘイ
1800	餅	184食	15	ヘイ、もち
1801	米	119米	6	ベイ、マイ、こめ
1802	壁	032土	16	ヘキ、かべ
1803	璧	096玉	18	ヘキ
1804	癖	104?	18	ヘキ、くせ
1805	別	018刀	7	ベツ、わか-れる
1806	蔑	140艸	14	ベツ、さげす-む
1807	片	091片	4	ヘン、かた
1808	辺	162?	5	ヘン、あた-り、べ
1809	返	162?	7	ヘン、かえ-す、かえ-る
1810	変	149言	9	ヘン、か-わる、か-える
1811	偏	009人	11	ヘン、かたよ-る
1812	遍	162?	12	ヘン
1813	編	120糸	15	ヘン、あ-む
1814	弁	"160辛
瓜
辛"	5	ベン
1815	便	009人	9	ベン、ビン、たよ-り
1816	勉	019力	10	ベン
1817	歩	077止	8	ホ、ブ、（フ）、ある-く、あゆ-む
1818	保	009人	9	ホ、たも-つ
1819	哺	030口	10	ホ
1820	捕	064手	10	ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる
1821	補	145衣	12	ホ、おぎな-う
1822	舗	135舌	15	ホ
1823	母	080毋	5	ボ、はは
1824	募	019力	12	ボ、つの-る
1825	墓	032土	13	ボ、はか
1826	慕	061心	14	ボ、した-う
1827	暮	072日	14	ボ、く-れる、く-らす
1828	簿	118竹	19	ボ
1829	方	070方	4	ホウ、かた
1830	包	020勹	5	ホウ、つつ-む
1831	芳	140艸	7	ホウ、かんば-しい
1832	邦	163邑	7	ホウ
1833	奉	037大	8	ホウ、（ブ）、たてまつ-る
1834	宝	040宀	8	ホウ、たから
1835	抱	064手	8	ホウ、だ-く、いだ-く、かか-える
1836	放	066攴	8	ホウ、はな-す、はな-つ、はな-れる、ほう-る
1837	法	085水	8	ホウ、（ハッ）、（ホッ）
1838	泡	085水	8	ホウ、あわ
1839	胞	130肉	9	ホウ
1840	俸	009人	10	ホウ
1841	倣	009人	10	ホウ、なら-う
1842	峰	046山	10	ホウ、みね
1843	砲	112石	10	ホウ
1844	崩	046山	11	ホウ、くず-れる、くず-す
1845	訪	149言	11	ホウ、おとず-れる、たず-ねる
1846	報	032土	12	ホウ、むく-いる
1847	蜂	142虫	13	ホウ、はち
1848	豊	151豆	13	ホウ、ゆた-か
1849	飽	184食	13	ホウ、あ-きる、あ-かす
1850	褒	145衣	15	ホウ、ほ-める
1851	縫	120糸	16	ホウ、ぬ-う
1852	亡	008亠	3	ボウ、（モウ）、な-い
1853	乏	004丿	4	ボウ、とぼ-しい
1854	忙	061心	6	ボウ、いそが-しい
1855	坊	032土	7	ボウ、（ボッ）
1856	妨	038女	7	ボウ、さまた-げる
1857	忘	061心	7	ボウ、わす-れる
1858	防	170阜	7	ボウ、ふせ-ぐ
1859	房	063?	8	ボウ、ふさ
1860	肪	130肉	8	ボウ
1861	某	075木	9	ボウ
1862	冒	013冂	9	ボウ、おか-す
1863	剖	018刀	10	ボウ
1864	紡	120糸	10	ボウ、つむ-ぐ
1865	望	074月	11	ボウ、モウ、のぞ-む
1866	傍	009人	12	ボウ、かたわ-ら
1867	帽	050巾	12	ボウ
1868	棒	075木	12	ボウ
1869	貿	154貝	12	ボウ
1870	貌	153豸	14	ボウ
1871	暴	072日	15	ボウ、（バク）、あば-く、あば-れる
1872	膨	130肉	16	ボウ、ふく-らむ、ふく-れる
1873	謀	149言	16	ボウ、（ム）、はか-る
1874	?	181頁	16	ほお
1875	北	021匕	5	ホク、きた
1876	木	075木	4	ボク、モク、き、（こ）
1877	朴	075木	6	ボク
1878	牧	093牛	8	ボク、まき
1879	睦	109目	13	ボク
1880	僕	009人	14	ボク
1881	墨	032土	14	ボク、すみ
1882	撲	064手	15	ボク
1883	没	085水	7	ボツ
1884	勃	019力	9	ボツ
1885	堀	032土	11	ほり
1886	本	075木	5	ホン、もと
1887	奔	037大	8	ホン
1888	翻	183飛	18	ホン、ひるがえ-る、ひるがえ-す
1889	凡	016几	3	ボン、（ハン）
1890	盆	108皿	9	ボン
1891	麻	200麻	11	マ、あさ
1892	摩	064手	15	マ
1893	磨	112石	16	マ、みが-く
1894	魔	194鬼	21	マ
1895	毎	080毋	6	マイ
1896	妹	038女	8	マイ、いもうと
1897	枚	075木	8	マイ
1898	昧	072日	9	マイ
1899	埋	032土	10	マイ、う-める、う-まる、う-もれる
1900	幕	050巾	13	マク、バク
1901	膜	130肉	14	マク
1902	枕	075木	8	まくら
1903	又	029又	2	また
1904	末	075木	5	マツ、バツ、すえ
1905	抹	064手	8	マツ
1906	万	140艸	3	マン、バン
1907	満	085水	12	マン、み-ちる、み-たす
1908	慢	061心	14	マン
1909	漫	085水	14	マン
1910	未	075木	5	ミ
1911	味	030口	8	ミ、あじ、あじ-わう
1912	魅	194鬼	15	ミ
1913	岬	046山	8	みさき
1914	密	040宀	11	ミツ
1915	蜜	142虫	14	ミツ
1916	脈	130肉	10	ミャク
1917	妙	038女	7	ミョウ
1918	民	083氏	5	ミン、たみ
1919	眠	109目	10	ミン、ねむ-る、ねむ-い
1920	矛	110矛	5	ム、ほこ
1921	務	019力	11	ム、つと-める、つと-まる
1922	無	086火	12	ム、ブ、な-い
1923	夢	036夕	13	ム、ゆめ
1924	霧	173雨	19	ム、きり
1925	娘	038女	10	むすめ
1926	名	030口	6	メイ、ミョウ、な
1927	命	030口	8	メイ、ミョウ、いのち
1928	明	072日	8	メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
1929	迷	162?	9	メイ、まよ-う
1930	冥	014冖	10	メイ、ミョウ
1931	盟	108皿	13	メイ
1932	銘	167金	14	メイ
1933	鳴	196鳥	14	メイ、な-く、な-る、な-らす
1934	滅	085水	13	メツ、ほろ-びる、ほろ-ぼす
1935	免	010儿	8	メン、まぬか-れる
1936	面	176面	9	メン、おも、おもて、つら
1937	綿	120糸	14	メン、わた
1938	麺	199麥	16	メン
1939	茂	140艸	8	モ、しげ-る
1940	模	075木	14	モ、ボ
1941	毛	082毛	4	モウ、け
1942	妄	038女	6	モウ、ボウ
1943	盲	109目	8	モウ
1944	耗	127耒	10	モウ、（コウ）
1945	猛	094犬	11	モウ
1946	網	120糸	14	モウ、あみ
1947	目	109目	5	モク、（ボク）、め、（ま）
1948	黙	203黑	15	モク、だま-る
1949	門	169門	8	モン、かど
1950	紋	120糸	10	モン
1951	問	030口	11	モン、と-う、と-い、（とん）
1952	冶	015冫	7	ヤ
1953	夜	036夕	8	ヤ、よ、よる
1954	野	166里	11	ヤ、の
1955	弥	057弓	8	や
1956	厄	027厂	4	ヤク
1957	役	060彳	7	ヤク、エキ
1958	約	120糸	9	ヤク
1959	訳	149言	11	ヤク、わけ
1960	薬	140艸	16	ヤク、くすり
1961	躍	157足	21	ヤク、おど-る
1962	闇	169門	17	やみ
1963	由	102田	5	ユ、ユウ、（ユイ）、よし
1964	油	085水	8	ユ、あぶら
1965	喩	030口	12	ユ
1966	愉	061心	12	ユ
1967	諭	149言	16	ユ、さと-す
1968	輸	159車	16	ユ
1969	癒	104?	18	ユ、い-える、い-やす
1970	唯	030口	11	ユイ、（イ）
1971	友	029又	4	ユウ、とも
1972	有	074月	6	ユウ、ウ、あ-る
1973	勇	019力	9	ユウ、いさ-む
1974	幽	052幺	9	ユウ
1975	悠	061心	11	ユウ
1976	郵	163邑	11	ユウ
1977	湧	085水	12	ユウ、わ-く
1978	猶	094犬	12	ユウ
1979	裕	145衣	12	ユウ
1980	遊	162?	12	ユウ、（ユ）、あそ-ぶ
1981	雄	172隹	12	ユウ、お、おす
1982	誘	149言	14	ユウ、さそ-う
1983	憂	061心	15	ユウ、うれ-える、うれ-い、う-い
1984	融	142虫	16	ユウ
1985	優	009人	17	ユウ、やさ-しい、すぐ-れる
1986	与	134臼	3	ヨ、あた-える
1987	予	152豕	4	ヨ
1988	余	184食	7	ヨ、あま-る、あま-す
1989	誉	149言	13	ヨ、ほま-れ
1990	預	181頁	13	ヨ、あず-ける、あず-かる
1991	幼	052幺	5	ヨウ、おさな-い
1992	用	101用	5	ヨウ、もち-いる
1993	羊	123羊	6	ヨウ、ひつじ
1994	妖	038女	7	ヨウ、あや-しい
1995	洋	085水	9	ヨウ
1996	要	146襾	9	ヨウ、かなめ、い-る
1997	容	040宀	10	ヨウ
1998	庸	053广	11	ヨウ
1999	揚	064手	12	ヨウ、あ-げる、あ-がる
2000	揺	064手	12	ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
2001	葉	140艸	12	ヨウ、は
2002	陽	170阜	12	ヨウ
2003	溶	085水	13	ヨウ、と-ける、と-かす、と-く
2004	腰	130肉	13	ヨウ、こし
2005	様	075木	14	ヨウ、さま
2006	瘍	104?	14	ヨウ
2007	踊	157足	14	ヨウ、おど-る、おど-り
2008	窯	116穴	15	ヨウ、かま
2009	養	184食	15	ヨウ、やしな-う
2010	擁	064手	16	ヨウ
2011	謡	149言	16	ヨウ、うたい、うた-う
2012	曜	072日	18	ヨウ
2013	抑	064手	7	ヨク、おさ-える
2014	沃	085水	7	ヨク
2015	浴	085水	10	ヨク、あ-びる、あ-びせる
2016	欲	076欠	11	ヨク、ほっ-する、ほ-しい
2017	翌	124羽	11	ヨク
2018	翼	124羽	17	ヨク、つばさ
2019	拉	064手	8	ラ
2020	裸	145衣	13	ラ、はだか
2021	羅	122网	19	ラ
2022	来	009人	7	ライ、く-る、きた-る、きた-す
2023	雷	173雨	13	ライ、かみなり
2024	頼	154貝	16	ライ、たの-む、たの-もしい、たよ-る
2025	絡	120糸	12	ラク、から-む、から-まる、から-める
2026	落	140艸	12	ラク、お-ちる、お-とす
2027	酪	164酉	13	ラク
2028	辣	160辛	14	ラツ
2029	乱	005乙	7	ラン、みだ-れる、みだ-す
2030	卵	026卩	7	ラン、たまご
2031	覧	147見	17	ラン
2032	濫	085水	18	ラン
2033	藍	140艸	18	ラン、あい
2034	欄	075木	20	ラン
2035	吏	030口	6	リ
2036	利	018刀	7	リ、き-く
2037	里	166里	7	リ、さと
2038	理	096玉	11	リ
2039	痢	104?	12	リ
2040	裏	145衣	13	リ、うら
2041	履	044尸	15	リ、は-く
2042	璃	096玉	15	リ
2043	離	172隹	19	リ、はな-れる、はな-す
2044	陸	170阜	11	リク
2045	立	117立	5	リツ、（リュウ）、た-つ、た-てる
2046	律	060彳	9	リツ、（リチ）
2047	慄	061心	13	リツ
2048	略	102田	11	リャク
2049	柳	075木	9	リュウ、やなぎ
2050	流	085水	10	リュウ、（ル）、なが-れる、なが-す
2051	留	102田	10	リュウ、（ル）、と-める、と-まる
2052	竜	212龍	10	リュウ、たつ
2053	粒	119米	11	リュウ、つぶ
2054	隆	170阜	11	リュウ
2055	硫	112石	12	リュウ
2056	侶	009人	9	リョ
2057	旅	070方	10	リョ、たび
2058	虜	141虍	13	リョ
2059	慮	061心	15	リョ
2060	了	006亅	2	リョウ
2061	両	011入	6	リョウ
2062	良	138艮	7	リョウ、よ-い
2063	料	068斗	10	リョウ
2064	涼	085水	11	リョウ、すず-しい、すず-む
2065	猟	094犬	11	リョウ
2066	陵	170阜	11	リョウ、みささぎ
2067	量	166里	12	リョウ、はか-る
2068	僚	009人	14	リョウ
2069	領	181頁	14	リョウ
2070	寮	040宀	15	リョウ
2071	療	104?	17	リョウ
2072	瞭	109目	17	リョウ
2073	糧	119米	18	リョウ、（ロウ）、かて
2074	力	019力	2	リョク、リキ、ちから
2075	緑	120糸	14	リョク、（ロク）、みどり
