;#	通用字体	部首	総画数	読み
585	誤	149言	14	ゴ、あやま-る
586	護	149言	20	ゴ
587	口	030口	3	コウ、ク、くち
588	工	048工	3	コウ、ク
589	公	012八	4	コウ、おおやけ
590	勾	020勹	4	コウ
591	孔	039子	4	コウ
592	功	019力	5	コウ、（ク）
593	巧	048工	5	コウ、たく-み
594	広	053广	5	コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
595	甲	102田	5	コウ、カン
596	交	008亠	6	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
597	光	010儿	6	コウ、ひか-る、ひかり
598	向	030口	6	コウ、む-く、む-ける、む-かう、む-こう
599	后	030口	6	コウ
600	好	038女	6	コウ、この-む、す-く
601	江	085水	6	コウ、え
602	考	125老	6	コウ、かんが-える
603	行	144行	6	コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う
604	坑	032土	7	コウ
605	孝	039子	7	コウ
606	抗	064手	7	コウ
607	攻	066攴	7	コウ、せ-める
608	更	073曰	7	コウ、さら、ふ-ける、ふ-かす
609	効	019力	8	コウ、き-く
610	幸	051干	8	コウ、さいわ-い、さち、しあわ-せ
611	拘	064手	8	コウ
612	肯	130肉	8	コウ
613	侯	009人	9	コウ
614	厚	027厂	9	コウ、あつ-い
615	恒	061心	9	コウ
616	洪	085水	9	コウ
617	皇	106白	9	コウ、オウ
618	紅	120糸	9	コウ、（ク）、べに、くれない
619	荒	140艸	9	コウ、あら-い、あ-れる、あ-らす
620	郊	163邑	9	コウ
621	香	186香	9	コウ、（キョウ）、か、かお-り、かお-る
622	候	009人	10	コウ、そうろう
623	校	075木	10	コウ
624	耕	127耒	10	コウ、たがや-す
625	航	137舟	10	コウ
626	貢	154貝	10	コウ、（ク）、みつ-ぐ
627	降	170阜	10	コウ、お-りる、お-ろす、ふ-る
628	高	189高	10	コウ、たか-い、たか、たか-まる、たか-める
629	康	053广	11	コウ
630	控	064手	11	コウ、ひか-える
631	梗	075木	11	コウ
632	黄	201?	11	コウ、オウ、き、（こ）
633	喉	030口	12	コウ、のど
634	慌	061心	12	コウ、あわ-てる、あわ-ただしい
635	港	085水	12	コウ、みなと
636	硬	112石	12	コウ、かた-い
637	絞	120糸	12	コウ、しぼ-る、し-める、し-まる
638	項	181頁	12	コウ
639	溝	085水	13	コウ、みぞ
640	鉱	167金	13	コウ
641	構	075木	14	コウ、かま-える、かま-う
642	綱	120糸	14	コウ、つな
643	酵	164酉	14	コウ
644	稿	115禾	15	コウ
645	興	134臼	16	コウ、キョウ、おこ-る、おこ-す
646	衡	144行	16	コウ
647	鋼	167金	16	コウ、はがね
648	講	149言	17	コウ
649	購	154貝	17	コウ
650	乞	005乙	3	こ-う
651	号	141虍	5	ゴウ
652	合	030口	6	ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる
653	拷	064手	9	ゴウ
654	剛	018刀	10	ゴウ
655	傲	009人	13	ゴウ
656	豪	152豕	14	ゴウ
657	克	010儿	7	コク
658	告	030口	7	コク、つ-げる
659	谷	150谷	7	コク、たに
660	刻	018刀	8	コク、きざ-む
661	国	031囗	8	コク、くに
662	黒	203黑	11	コク、くろ、くろ-い
663	穀	115禾	14	コク
664	酷	164酉	14	コク
665	獄	094犬	14	ゴク
666	骨	188骨	10	コツ、ほね
667	駒	187馬	15	こま
668	込	162?	5	こ-む、こ-める
669	頃	181頁	11	ころ
670	今	009人	4	コン、キン、いま
671	困	031囗	7	コン、こま-る
672	昆	072日	8	コン
673	恨	061心	9	コン、うら-む、うら-めしい
674	根	075木	10	コン、ね
675	婚	038女	11	コン
676	混	085水	11	コン、ま-じる、ま-ざる、ま-ぜる、こ-む
677	痕	104?	11	コン、あと
678	紺	120糸	11	コン
679	魂	194鬼	14	コン、たましい
680	墾	032土	16	コン
681	懇	061心	17	コン、ねんご-ろ
682	左	048工	5	サ、ひだり
683	佐	009人	7	サ
684	沙	085水	7	サ
685	査	075木	9	サ
686	砂	112石	9	サ、シャ、すな
687	唆	030口	10	サ、そそのか-す
688	差	048工	10	サ、さ-す
689	詐	149言	12	サ
690	鎖	167金	18	サ、くさり
691	座	053广	10	ザ、すわ-る
692	挫	064手	10	ザ
693	才	064手	3	サイ
694	再	013冂	6	サイ、（サ）、ふたた-び
695	災	086火	7	サイ、わざわ-い
696	妻	038女	8	サイ、つま
697	采	165釆	8	サイ
698	砕	112石	9	サイ、くだ-く、くだ-ける
699	宰	040宀	10	サイ
700	栽	075木	10	サイ
701	彩	059彡	11	サイ、いろど-る
702	採	064手	11	サイ、と-る
703	済	085水	11	サイ、す-む、す-ます
704	祭	113示	11	サイ、まつ-る、まつ-り
705	斎	210齊	11	サイ
706	細	120糸	11	サイ、ほそ-い、ほそ-る、こま-か、こま-かい
707	菜	140艸	11	サイ、な
708	最	073曰	12	サイ、もっと-も
709	裁	145衣	12	サイ、た-つ、さば-く
710	債	009人	13	サイ
711	催	009人	13	サイ、もよお-す
712	塞	032土	13	サイ、ソク、ふさ-ぐ、ふさ-がる
713	歳	077止	13	サイ、（セイ）
714	載	159車	13	サイ、の-せる、の-る
715	際	170阜	14	サイ、きわ
716	埼	032土	11	（さい）[6]
717	在	032土	6	ザイ、あ-る
718	材	075木	7	ザイ
719	剤	018刀	10	ザイ
720	財	154貝	10	ザイ、（サイ）
721	罪	122网	13	ザイ、つみ
