; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力・常用漢字表』片山博文MZ
; "MZ-IME Japanese Input, The Common Use Kanji Table"
; Copyright (C) 2016 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
;-------------------------------------------------------------------------------
;漢字ID	漢字	部首ID	総画数	読み
772	糸	120	6	シ、いと
773	至	133	6	シ、いた-る
774	伺	009	7	シ、うかが-う
775	志	061	7	シ、こころざ-す、こころざし
776	私	115	7	シ、わたくし、わたし
777	使	009	8	シ、つか-う
778	刺	018	8	シ、さ-す、さ-さる
779	始	038	8	シ、はじ-める、はじ-まる
780	姉	038	8	シ、あね
781	枝	075	8	シ、えだ
782	祉	113	8	シ
783	肢	130	8	シ
784	姿	038	9	シ、すがた
785	思	061	9	シ、おも-う
786	指	064	9	シ、ゆび、さ-す
787	施	070	9	シ、セ、ほどこ-す
788	師	050	10	シ
789	恣	061	10	シ
790	紙	120	10	シ、かみ
791	脂	130	10	シ、あぶら
792	視	147	11	シ
793	紫	120	12	シ、むらさき
794	詞	149	12	シ
795	歯	211	12	シ、は
796	嗣	030	13	シ
797	試	149	13	シ、こころ-みる、ため-す
798	詩	149	13	シ
799	資	154	13	シ
800	飼	184	13	シ、か-う
801	誌	149	14	シ
802	雌	172	14	シ、め、めす
803	摯	064	15	シ
804	賜	154	15	シ、たまわ-る
805	諮	149	16	シ、はか-る
806	示	113	5	ジ、シ、しめ-す
807	字	039	6	ジ、あざ
808	寺	041	6	ジ、てら
809	次	076	6	ジ、シ、つ-ぐ、つぎ
810	耳	128	6	ジ、みみ
811	自	132	6	ジ、シ、みずか-ら
812	似	009	7	ジ、に-る
813	児	010	7	ジ、ニ
814	事	006	8	ジ、ズ、こと
815	侍	009	8	ジ、さむらい
816	治	085	8	ジ、チ、おさ-める、おさ-まる、なお-る、なお-す
817	持	064	9	ジ、も-つ
818	時	072	10	ジ、とき
819	滋	085	12	ジ
820	慈	061	13	ジ、いつく-しむ
821	辞	160	13	ジ、や-める
822	磁	112	14	ジ
823	餌	184	15	ジ、えさ、え
824	璽	096	19	ジ
825	鹿	198	11	しか、か
826	式	056	6	シキ
827	識	149	19	シキ
828	軸	159	12	ジク
829	七	001	2	シチ、なな、なな-つ、なの
830	叱	030	5	シツ、しか-る
831	失	037	5	シツ、うしな-う
832	室	040	9	シツ、むろ
833	疾	104	10	シツ
834	執	032	11	シツ、シュウ、と-る
835	湿	085	12	シツ、しめ-る、しめ-す
836	嫉	038	13	シツ
837	漆	085	14	シツ、うるし
838	質	154	15	シツ、シチ、チ
839	実	040	8	ジツ、み、みの-る
840	芝	140	6	しば
841	写	040	5	シャ、うつ-す、うつ-る
842	社	113	7	シャ、やしろ
843	車	159	7	シャ、くるま
844	舎	135	8	シャ
845	者	125	8	シャ、もの
846	射	041	10	シャ、い-る
847	捨	064	11	シャ、す-てる
848	赦	155	11	シャ
849	斜	068	11	シャ、なな-め
850	煮	086	12	シャ、に-る、に-える、に-やす
851	遮	162	14	シャ、さえぎ-る
852	謝	149	17	シャ、あやま-る
853	邪	163	8	ジャ
854	蛇	142	11	ジャ、ダ、へび
855	尺	044	4	シャク
856	借	009	10	シャク、か-りる
857	酌	164	10	シャク、く-む
858	釈	165	11	シャク
859	爵	087	17	シャク
860	若	140	8	ジャク、ニャク、わか-い、も-しくは
861	弱	057	10	ジャク、よわ-い、よわ-る、よわ-まる、よわ-める
862	寂	040	11	ジャク、セキ、さび、さび-しい、さび-れる
863	手	064	4	シュ、て、た
864	主	003	5	シュ、ス、ぬし、おも
865	守	040	6	シュ、ス、まも-る、も-り
866	朱	075	6	シュ
867	取	029	8	シュ、と-る
868	狩	094	9	シュ、か-る、か-り
869	首	185	9	シュ、くび
870	殊	078	10	シュ、こと
871	珠	096	10	シュ
872	酒	164	10	シュ、さけ、さか
873	腫	130	13	シュ、は-れる、は-らす
874	種	115	14	シュ、たね
875	趣	156	15	シュ、おもむき
876	寿	033	7	ジュ、ことぶき
877	受	029	8	ジュ、う-ける、う-かる
878	呪	030	8	ジュ、のろ-う
879	授	064	11	ジュ、さず-ける、さず-かる
880	需	173	14	ジュ
881	儒	009	16	ジュ
882	樹	075	16	ジュ
883	収	066	4	シュウ、おさ-める、おさ-まる
884	囚	031	5	シュウ
885	州	047	6	シュウ、す
886	舟	137	6	シュウ、ふね、ふな
887	秀	115	7	シュウ、ひい-でる
888	周	030	8	シュウ、まわ-り
889	宗	040	8	シュウ、ソウ
890	拾	064	9	シュウ、ジュウ、ひろ-う
891	秋	115	9	シュウ、あき
892	臭	132	9	シュウ、くさ-い、にお-う
893	修	009	10	シュウ、シュ、おさ-める、おさ-まる
894	袖	145	10	シュウ、そで
895	終	120	11	シュウ、お-わる、お-える
896	羞	123	11	シュウ
897	習	124	11	シュウ、なら-う
898	週	162	11	シュウ
899	就	043	12	シュウ、ジュ、つ-く、つ-ける
900	衆	143	12	シュウ、シュ
901	集	172	12	シュウ、あつ-まる、あつ-める、つど-う
902	愁	061	13	シュウ、うれ-える、うれ-い
903	酬	164	13	シュウ
904	醜	164	17	シュウ、みにく-い
905	蹴	157	19	シュウ、け-る
906	襲	145	22	シュウ、おそ-う
907	十	024	2	ジュウ、ジッ、とお、と
908	汁	085	5	ジュウ、しる
909	充	010	6	ジュウ、あ-てる
910	住	009	7	ジュウ、す-む、す-まう
911	柔	075	9	ジュウ、ニュウ、やわ-らか、やわ-らかい
912	重	166	9	ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる
913	従	060	10	ジュウ、ショウ、ジュ、したが-う、したが-える
914	渋	085	11	ジュウ、しぶ、しぶ-い、しぶ-る
915	銃	167	14	ジュウ
916	獣	094	16	ジュウ、けもの
917	縦	120	16	ジュウ、たて
918	叔	029	8	シュク
919	祝	113	9	シュク、シュウ、いわ-う
920	宿	040	11	シュク、やど、やど-る、やど-す
921	淑	085	11	シュク
922	粛	129	11	シュク
923	縮	120	17	シュク、ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす
924	塾	032	14	ジュク
925	熟	086	15	ジュク、う-れる
926	出	017	5	シュツ、スイ、で-る、だ-す
927	述	162	8	ジュツ、の-べる
928	術	144	11	ジュツ
929	俊	009	9	シュン
930	春	072	9	シュン、はる
931	瞬	109	18	シュン、またた-く
932	旬	072	6	ジュン、シュン
933	巡	047	6	ジュン、めぐ-る
934	盾	109	9	ジュン、たて
935	准	015	10	ジュン
936	殉	078	10	ジュン
937	純	120	10	ジュン
938	循	060	12	ジュン
939	順	181	12	ジュン
940	準	085	13	ジュン
941	潤	085	15	ジュン、うるお-う、うるお-す、うる-む
942	遵	162	15	ジュン
943	処	141	5	ショ
944	初	018	7	ショ、はじ-め、はじ-めて、はつ、うい、そ-める
945	所	063	8	ショ、ところ
946	書	073	10	ショ、か-く
947	庶	053	11	ショ
948	暑	072	12	ショ、あつ-い
949	署	122	13	ショ
950	緒	120	14	ショ、チョ、お
951	諸	149	15	ショ
952	女	038	3	ジョ、ニョ、ニョウ、おんな、め
953	如	038	6	ジョ、ニョ
954	助	019	7	ジョ、たす-ける、たす-かる、すけ
955	序	053	7	ジョ
956	叙	066	9	ジョ
957	徐	060	10	ジョ
958	除	170	10	ジョ、ジ、のぞ-く
959	小	042	3	ショウ、ちい-さい、こ、お
960	升	024	4	ショウ、ます
961	少	042	4	ショウ、すく-ない、すこ-し
962	召	030	5	ショウ、め-す
963	匠	022	6	ショウ
964	床	053	7	ショウ、とこ、ゆか
965	抄	064	7	ショウ
966	肖	130	7	ショウ
967	尚	042	8	ショウ
968	招	064	8	ショウ、まね-く
969	承	064	8	ショウ、うけたまわ-る
970	昇	072	8	ショウ、のぼ-る
971	松	075	8	ショウ、まつ
972	沼	085	8	ショウ、ぬま
973	昭	072	9	ショウ
974	宵	040	10	ショウ、よい
975	将	041	10	ショウ
976	消	085	10	ショウ、き-える、け-す
977	症	104	10	ショウ
978	祥	113	10	ショウ
979	称	115	10	ショウ
980	笑	118	10	ショウ、わら-う、え-む
981	唱	030	11	ショウ、とな-える
982	商	030	11	ショウ、あきな-う
983	渉	085	11	ショウ
984	章	117	11	ショウ
985	紹	120	11	ショウ
986	訟	149	11	ショウ
987	勝	019	12	ショウ、か-つ、まさ-る
988	掌	064	12	ショウ
989	晶	072	12	ショウ
990	焼	086	12	ショウ、や-く、や-ける
991	焦	086	12	ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
992	硝	112	12	ショウ
993	粧	119	12	ショウ
994	詔	149	12	ショウ、みことのり
995	証	149	12	ショウ
996	象	152	12	ショウ、ゾウ
997	傷	009	13	ショウ、きず、いた-む、いた-める
998	奨	037	13	ショウ
999	照	086	13	ショウ、て-る、て-らす、て-れる
1000	詳	149	13	ショウ、くわ-しい
1001	彰	059	14	ショウ
1002	障	170	14	ショウ、さわ-る
1003	憧	061	15	ショウ、あこが-れる
1004	衝	144	15	ショウ
1005	賞	154	15	ショウ
1006	償	009	17	ショウ、つぐな-う
1007	礁	112	17	ショウ
1008	鐘	167	20	ショウ、かね
1009	上	001	3	ジョウ、ショウ、うえ、うわ、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
1010	丈	001	3	ジョウ、たけ
1011	冗	014	4	ジョウ
1012	条	075	7	ジョウ
1013	状	094	7	ジョウ
1014	乗	004	9	ジョウ、の-る、の-せる
1015	城	032	9	ジョウ、しろ
1016	浄	085	9	ジョウ
1017	剰	018	11	ジョウ
1018	常	050	11	ジョウ、つね、とこ
1019	情	061	11	ジョウ、セイ、なさ-け
1020	場	032	12	ジョウ、ば
1021	畳	102	12	ジョウ、たた-む、たたみ
1022	蒸	140	13	ジョウ、む-す、む-れる、む-らす
1023	縄	120	15	ジョウ、なわ
1024	壌	032	16	ジョウ
1025	嬢	038	16	ジョウ
1026	錠	167	16	ジョウ
1027	譲	149	20	ジョウ、ゆず-る
1028	醸	164	20	ジョウ、かも-す
1029	色	139	6	ショク、シキ、いろ
1030	拭	064	9	ショク、ふ-く、ぬぐ-う
1031	食	184	9	ショク、ジキ、く-う、く-らう、た-べる
1032	植	075	12	ショク、う-える、う-わる
1033	殖	078	12	ショク、ふ-える、ふ-やす
1034	飾	184	13	ショク、かざ-る
1035	触	148	13	ショク、ふ-れる、さわ-る
1036	嘱	030	15	ショク
1037	織	120	18	ショク、シキ、お-る
1038	職	128	18	ショク
1039	辱	161	10	ジョク、はずかし-める
1040	尻	044	5	しり
1041	心	061	4	シン、こころ
1042	申	102	5	シン、もう-す
1043	伸	009	7	シン、の-びる、の-ばす、の-べる
1044	臣	131	7	シン、ジン
1045	芯	140	7	シン
1046	身	158	7	シン、み
1047	辛	160	7	シン、から-い
1048	侵	009	9	シン、おか-す
1049	信	009	9	シン
1050	津	085	9	シン、つ
1051	神	113	9	シン、ジン、かみ、かん、こう
1052	唇	030	10	シン、くちびる
1053	娠	038	10	シン
1054	振	064	10	シン、ふ-る、ふ-るう、ふ-れる
1055	浸	085	10	シン、ひた-す、ひた-る
1056	真	109	10	シン、ま
1057	針	167	10	シン、はり
1058	深	085	11	シン、ふか-い、ふか-まる、ふか-める
1059	紳	120	11	シン
1060	進	162	11	シン、すす-む、すす-める
1061	森	075	12	シン、もり
1062	診	149	12	シン、み-る
1063	寝	040	13	シン、ね-る、ね-かす
1064	慎	061	13	シン、つつし-む
1065	新	069	13	シン、あたら-しい、あら-た、にい
1066	審	040	15	シン
1067	震	173	15	シン、ふる-う、ふる-える
1068	薪	140	16	シン、たきぎ
1069	親	147	16	シン、おや、した-しい、した-しむ
1070	人	009	2	ジン、ニン、ひと
1071	刃	018	3	ジン、は
1072	仁	009	4	ジン、ニ
1073	尽	108	6	ジン、つ-くす、つ-きる、つ-かす
1074	迅	162	6	ジン
1075	甚	099	9	ジン、はなは-だ、はなは-だしい
1076	陣	170	10	ジン
1077	尋	041	12	ジン、たず-ねる
1078	腎	130	13	ジン
1079	須	181	12	ス
1080	図	031	7	ズ、ト、はか-る
1081	水	085	4	スイ、みず
1082	吹	030	7	スイ、ふ-く
1083	垂	032	8	スイ、た-れる、た-らす
1084	炊	086	8	スイ、た-く
1085	帥	050	9	スイ
1086	粋	119	10	スイ、いき
1087	衰	145	10	スイ、おとろ-える
1088	推	064	11	スイ、お-す
1089	酔	164	11	スイ、よ-う
1090	遂	162	12	スイ、と-げる
1091	睡	109	13	スイ
1092	穂	115	15	スイ、ほ
1093	随	170	12	ズイ
1094	髄	188	19	ズイ
1095	枢	075	8	スウ
1096	崇	046	11	スウ
1097	数	066	13	スウ、ス、かず、かぞ-える
1098	据	064	11	す-える、す-わる
1099	杉	075	7	すぎ
1100	裾	145	13	すそ
1101	寸	041	3	スン
1102	瀬	085	19	せ
1103	是	072	9	ゼ
1104	井	007	4	セイ、ショウ、い
1105	世	001	5	セイ、セ、よ
1106	正	077	5	セイ、ショウ、ただ-しい、ただ-す、まさ
1107	生	100	5	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
1108	成	062	6	セイ、ジョウ、な-る、な-す
1109	西	146	6	セイ、サイ、にし
1110	声	128	7	セイ、ショウ、こえ、こわ
1111	制	018	8	セイ
1112	姓	038	8	セイ、ショウ
1113	征	060	8	セイ
1114	性	061	8	セイ、ショウ
1115	青	174	8	セイ、ショウ、あお、あお-い
1116	斉	210	8	セイ
1117	政	066	9	セイ、ショウ、まつりごと
1118	星	072	9	セイ、ショウ、ほし
1119	牲	093	9	セイ
1120	省	109	9	セイ、ショウ、かえり-みる、はぶ-く
1121	凄	015	10	セイ
1122	逝	162	10	セイ、ゆ-く、い-く
1123	清	085	11	セイ、ショウ、きよ-い、きよ-まる、きよ-める
1124	盛	108	11	セイ、ジョウ、も-る、さか-る、さか-ん
1125	婿	038	12	セイ、むこ
1126	晴	072	12	セイ、は-れる、は-らす
1127	勢	019	13	セイ、いきお-い
1128	聖	128	13	セイ
1129	誠	149	13	セイ、まこと
1130	精	119	14	セイ、ショウ
1131	製	145	14	セイ
1132	誓	149	14	セイ、ちか-う
1133	静	174	14	セイ、ジョウ、しず、しず-か、しず-まる、しず-める
1134	請	149	15	セイ、シン、こ-う、う-ける
1135	整	066	16	セイ、ととの-える、ととの-う
1136	醒	164	16	セイ
1137	税	115	12	ゼイ
1138	夕	036	3	セキ、ゆう
1139	斥	069	5	セキ
1140	石	112	5	セキ、シャク、コク、いし
1141	赤	155	7	セキ、シャク、あか、あか-い、あか-らむ、あか-らめる
1142	昔	072	8	セキ、シャク、むかし
1143	析	075	8	セキ
1144	席	050	10	セキ
1145	脊	130	10	セキ
1146	隻	172	10	セキ
1147	惜	061	11	セキ、お-しい、お-しむ
1148	戚	062	11	セキ
1149	責	154	11	セキ、せ-める
1150	跡	157	13	セキ、あと
1151	積	115	16	セキ、つ-む、つ-もる
1152	績	120	17	セキ
1153	籍	118	20	セキ
1154	切	018	4	セツ、サイ、き-る、き-れる
1155	折	064	7	セツ、お-る、おり、お-れる
1156	拙	064	8	セツ、つたな-い
1157	窃	116	9	セツ
1158	接	064	11	セツ、つ-ぐ
1159	設	149	11	セツ、もう-ける
1160	雪	173	11	セツ、ゆき
1161	摂	064	13	セツ
1162	節	118	13	セツ、セチ、ふし
1163	説	149	14	セツ、ゼイ、と-く
1164	舌	135	6	ゼツ、した
1165	絶	120	12	ゼツ、た-える、た-やす、た-つ
1166	千	024	3	セン、ち
1167	川	047	3	セン、かわ
1168	仙	009	5	セン
1169	占	025	5	セン、し-める、うらな-う
1170	先	010	6	セン、さき
1171	宣	040	9	セン
1172	専	041	9	セン、もっぱ-ら
1173	泉	085	9	セン、いずみ
1174	浅	085	9	セン、あさ-い
1175	洗	085	9	セン、あら-う
1176	染	075	9	セン、そ-める、そ-まる、し-みる、し-み
1177	扇	063	10	セン、おうぎ
1178	栓	075	10	セン
1179	旋	070	11	セン
1180	船	137	11	セン、ふね、ふな
1181	戦	062	13	セン、いくさ、たたか-う
1182	煎	086	13	セン、い-る
1183	羨	123	13	セン、うらや-む、うらや-ましい
1184	腺	130	13	セン
1185	詮	149	13	セン
1186	践	157	13	セン
1187	箋	118	14	セン
1188	銭	167	14	セン、ぜに
1189	潜	085	15	セン、ひそ-む、もぐ-る
1190	線	120	15	セン
1191	遷	162	15	セン
1192	選	162	15	セン、えら-ぶ
1193	薦	140	16	セン、すす-める
1194	繊	120	17	セン
1195	鮮	195	17	セン、あざ-やか
1196	全	011	6	ゼン、まった-く、すべ-て
1197	前	018	9	ゼン、まえ
1198	善	030	12	ゼン、よ-い
1199	然	086	12	ゼン、ネン
1200	禅	113	13	ゼン
1201	漸	085	14	ゼン
1202	膳	130	16	ゼン
1203	繕	120	18	ゼン、つくろ-う
1204	狙	094	8	ソ、ねら-う
1205	阻	170	8	ソ、はば-む
1206	祖	113	9	ソ
1207	租	115	10	ソ
1208	素	120	10	ソ、ス
1209	措	064	11	ソ
1210	粗	119	11	ソ、あら-い
1211	組	120	11	ソ、く-む、くみ
1212	疎	103	12	ソ、うと-い、うと-む
1213	訴	149	12	ソ、うった-える
1214	塑	032	13	ソ
1215	遡	162	14	ソ、さかのぼ-る
1216	礎	112	18	ソ、いしずえ
1217	双	172	4	ソウ、ふた
1218	壮	033	6	ソウ
1219	早	072	6	ソウ、サッ、はや-い、はや-まる、はや-める
1220	争	087	6	ソウ、あらそ-う
1221	走	156	7	ソウ、はし-る
1222	奏	037	9	ソウ、かな-でる
1223	相	109	9	ソウ、ショウ、あい
1224	荘	140	9	ソウ
1225	草	140	9	ソウ、くさ
1226	送	162	9	ソウ、おく-る
1227	倉	009	10	ソウ、くら
1228	捜	064	10	ソウ、さが-す
1229	挿	064	10	ソウ、さ-す
1230	桑	075	10	ソウ、くわ
1231	巣	047	11	ソウ、す
1232	掃	064	11	ソウ、は-く
1233	曹	073	11	ソウ
1234	曽	073	11	ソウ、ゾ
1235	爽	089	11	ソウ、さわ-やか
1236	窓	116	11	ソウ、まど
1237	創	018	12	ソウ、つく-る
1238	喪	030	12	ソウ、も
1239	痩	104	12	ソウ、や-せる
1240	葬	140	12	ソウ、ほうむ-る
1241	装	145	12	ソウ、ショウ、よそお-う
1242	僧	009	13	ソウ
1243	想	061	13	ソウ、ソ
1244	層	044	14	ソウ
1245	総	120	14	ソウ
1246	遭	162	14	ソウ、あ-う
1247	槽	075	15	ソウ
1248	踪	157	15	ソウ
1249	操	064	16	ソウ、みさお、あやつ-る
1250	燥	086	17	ソウ
1251	霜	173	17	ソウ、しも
1252	騒	187	18	ソウ、さわ-ぐ
1253	藻	140	19	ソウ、も
1254	造	162	10	ゾウ、つく-る
1255	像	009	14	ゾウ
1256	増	032	14	ゾウ、ま-す、ふ-える、ふ-やす
1257	憎	061	14	ゾウ、にく-む、にく-い、にく-らしい、にく-しみ
1258	蔵	140	15	ゾウ、くら
1259	贈	154	18	ゾウ、ソウ、おく-る
1260	臓	130	19	ゾウ
1261	即	026	7	ソク
1262	束	075	7	ソク、たば
1263	足	157	7	ソク、あし、た-りる、た-る、た-す
1264	促	009	9	ソク、うなが-す
1265	則	018	9	ソク
1266	息	061	10	ソク、いき
1267	捉	064	10	ソク、とら-える
1268	速	162	10	ソク、はや-い、はや-める、はや-まる、すみ-やか
1269	側	009	11	ソク、がわ
1270	測	085	12	ソク、はか-る
1271	俗	009	9	ゾク
1272	族	070	11	ゾク
1273	属	044	12	ゾク
1274	賊	154	13	ゾク
1275	続	120	13	ゾク、つづ-く、つづ-ける
1276	卒	024	8	ソツ
1277	率	095	11	ソツ、リツ、ひき-いる
1278	存	039	6	ソン、ゾン
1279	村	075	7	ソン、むら
1280	孫	039	10	ソン、まご
1281	尊	041	12	ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
1282	損	064	13	ソン、そこ-なう、そこ-ねる
1283	遜	162	14	ソン
1284	他	009	5	タ、ほか
1285	多	036	6	タ、おお-い
1286	汰	085	7	タ
1287	打	064	5	ダ、う-つ
1288	妥	038	7	ダ
1289	唾	030	11	ダ、つば
1290	堕	032	12	ダ
1291	惰	061	12	ダ
1292	駄	187	14	ダ
1293	太	037	4	タイ、タ、ふと-い、ふと-る
1294	対	041	7	タイ、ツイ
1295	体	188	7	タイ、テイ、からだ
1296	耐	126	9	タイ、た-える
1297	待	060	9	タイ、ま-つ
1298	怠	061	9	タイ、おこた-る、なま-ける
1299	胎	130	9	タイ
1300	退	162	9	タイ、しりぞ-く、しりぞ-ける
1301	帯	050	10	タイ、お-びる、おび
1302	泰	085	10	タイ
1303	堆	032	11	タイ
1304	袋	145	11	タイ、ふくろ
1305	逮	162	11	タイ
1306	替	073	12	タイ、か-える、か-わる
1307	貸	154	12	タイ、か-す
1308	隊	170	12	タイ
1309	滞	085	13	タイ、とどこお-る
1310	態	061	14	タイ
1311	戴	062	17	タイ
1312	大	037	3	ダイ、タイ、おお、おお-きい、おお-いに
1313	代	009	5	ダイ、タイ、か-わる、か-える、よ、しろ
1314	台	133	5	ダイ、タイ
1315	第	118	11	ダイ
1316	題	181	18	ダイ
1317	滝	085	13	たき
1318	宅	040	6	タク
1319	択	064	7	タク
1320	沢	085	7	タク、さわ
1321	卓	024	8	タク
1322	拓	064	8	タク
1323	託	149	10	タク
1324	濯	085	17	タク
1325	諾	149	15	ダク
1326	濁	085	16	ダク、にご-る、にご-す
1327	但	009	7	ただ-し
1328	達	162	12	タツ
1329	脱	130	11	ダツ、ぬ-ぐ、ぬ-げる
1330	奪	037	14	ダツ、うば-う
1331	棚	075	12	たな
1332	誰	149	15	だれ
1333	丹	003	4	タン
1334	旦	072	5	タン、ダン
1335	担	064	8	タン、かつ-ぐ、にな-う
1336	単	030	9	タン
1337	炭	086	9	タン、すみ
1338	胆	130	9	タン
1339	探	064	11	タン、さぐ-る、さが-す
1340	淡	085	11	タン、あわ-い
1341	短	111	12	タン、みじか-い
1342	嘆	030	13	タン、なげ-く、なげ-かわしい
1343	端	117	14	タン、はし、は、はた
1344	綻	120	14	タン、ほころ-びる
1345	誕	149	15	タン
1346	鍛	167	17	タン、きた-える
1347	団	031	6	ダン、トン
1348	男	102	7	ダン、ナン、おとこ
1349	段	079	9	ダン
1350	断	069	11	ダン、た-つ、ことわ-る
1351	弾	057	12	ダン、ひ-く、はず-む、たま
1352	暖	072	13	ダン、あたた-か、あたた-かい、あたた-まる、あたた-める
1353	談	149	15	ダン
1354	壇	032	16	ダン、タン
1355	地	032	6	チ、ジ
1356	池	085	6	チ、いけ
1357	知	111	8	チ、し-る
1358	値	009	10	チ、ね、あたい
1359	恥	061	10	チ、は-じる、はじ、は-じらう、は-ずかしい
1360	致	133	10	チ、いた-す
1361	遅	162	12	チ、おく-れる、おく-らす、おそ-い
1362	痴	104	13	チ
1363	稚	115	13	チ
1364	置	122	13	チ、お-く
1365	緻	120	16	チ
1366	竹	118	6	チク、たけ
1367	畜	102	10	チク
1368	逐	162	10	チク
1369	蓄	140	13	チク、たくわ-える
1370	築	118	16	チク、きず-く
1371	秩	115	10	チツ
1372	窒	116	11	チツ
1373	茶	140	9	チャ、サ
1374	着	123	12	チャク、ジャク、き-る、き-せる、つ-く、つ-ける
1375	嫡	038	14	チャク
1376	中	002	4	チュウ、ジュウ、なか
1377	仲	009	6	チュウ、なか
1378	虫	142	6	チュウ、むし
1379	沖	085	7	チュウ、おき
1380	宙	040	8	チュウ
1381	忠	061	8	チュウ
1382	抽	064	8	チュウ
1383	注	085	8	チュウ、そそ-ぐ
1384	昼	072	9	チュウ、ひる
1385	柱	075	9	チュウ、はしら
1386	衷	145	10	チュウ
1387	酎	164	10	チュウ
1388	鋳	167	15	チュウ、い-る
1389	駐	187	15	チュウ
1390	著	140	11	チョ、あらわ-す、いちじる-しい
1391	貯	154	12	チョ
1392	丁	001	2	チョウ、テイ
1393	弔	057	4	チョウ、とむら-う
1394	庁	053	5	チョウ
1395	兆	010	6	チョウ、きざ-す、きざ-し
1396	町	102	7	チョウ、まち
1397	長	168	8	チョウ、なが-い
1398	挑	064	9	チョウ、いど-む
1399	帳	050	11	チョウ
1400	張	057	11	チョウ、は-る
1401	彫	059	11	チョウ、ほ-る
1402	眺	109	11	チョウ、なが-める
1403	釣	167	11	チョウ、つ-る
1404	頂	181	11	チョウ、いただ-く、いただき
1405	鳥	196	11	チョウ、とり
1406	朝	074	12	チョウ、あさ
1407	貼	154	12	チョウ、は-る
1408	超	156	12	チョウ、こ-える、こ-す
1409	腸	130	13	チョウ
1410	跳	157	13	チョウ、は-ねる、と-ぶ
1411	徴	060	14	チョウ
1412	嘲	030	15	チョウ、あざけ-る
1413	潮	085	15	チョウ、しお
1414	澄	085	15	チョウ、す-む、す-ます
1415	調	149	15	チョウ、しら-べる、ととの-う、ととの-える
1416	聴	128	17	チョウ、き-く
1417	懲	061	18	チョウ、こ-りる、こ-らす、こ-らしめる
1418	直	109	8	チョク、ジキ、ただ-ちに、なお-す、なお-る
1419	勅	019	9	チョク
1420	捗	064	10	チョク
1421	沈	085	7	チン、しず-む、しず-める
1422	珍	096	9	チン、めずら-しい
1423	朕	074	10	チン
1424	陳	170	11	チン
1425	賃	154	13	チン
1426	鎮	167	18	チン、しず-める、しず-まる
1427	追	162	9	ツイ、お-う
1428	椎	075	12	ツイ
1429	墜	032	15	ツイ
1430	通	162	10	ツウ、ツ、とお-る、とお-す、かよ-う
1431	痛	104	12	ツウ、いた-い、いた-む、いた-める
1432	塚	032	12	つか
1433	漬	085	14	つ-ける、つ-かる
1434	坪	032	8	つぼ
1435	爪	087	4	つめ、つま
1436	鶴	196	21	つる
1437	低	009	7	テイ、ひく-い、ひく-める、ひく-まる
1438	呈	030	7	テイ
1439	廷	054	7	テイ
1440	弟	057	7	テイ、ダイ、デ、おとうと
1441	定	040	8	テイ、ジョウ、さだ-める、さだ-まる、さだ-か
1442	底	053	8	テイ、そこ
1443	抵	064	8	テイ
1444	邸	163	8	テイ
1445	亭	008	9	テイ
1446	貞	154	9	テイ
1447	帝	050	9	テイ
1448	訂	149	9	テイ
1449	庭	053	10	テイ、にわ
1450	逓	162	10	テイ
1451	停	009	11	テイ
1452	偵	009	11	テイ
1453	堤	032	12	テイ、つつみ
1454	提	064	12	テイ、さ-げる
1455	程	115	12	テイ、ほど
1456	艇	137	13	テイ
1457	締	120	15	テイ、し-まる、し-める
1458	諦	149	16	テイ、あきら-める
1459	泥	085	8	デイ、どろ
1460	的	106	8	テキ、まと
1461	笛	118	11	テキ、ふえ
1462	摘	064	14	テキ、つ-む
1463	滴	085	14	テキ、しずく、したた-る
1464	適	162	14	テキ
1465	敵	066	15	テキ、かたき
1466	溺	085	13	デキ、おぼ-れる
1467	迭	162	8	テツ
1468	哲	030	10	テツ
1469	鉄	167	13	テツ
1470	徹	060	15	テツ
1471	撤	064	15	テツ
1472	天	037	4	テン、あめ、あま
1473	典	012	8	テン
1474	店	053	8	テン、みせ
1475	点	203	9	テン
1476	展	044	10	テン
1477	添	085	11	テン、そ-える、そ-う
1478	転	159	11	テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ
1479	填	032	13	テン
1480	田	102	5	デン、た
1481	伝	009	6	デン、つた-わる、つた-える、つた-う
1482	殿	079	13	デン、テン、との、どの
1483	電	173	13	デン
1484	斗	068	4	ト
1485	吐	030	6	ト、は-く
1486	妬	038	8	ト、ねた-む
1487	徒	060	10	ト
1488	途	162	10	ト
1489	都	163	11	ト、ツ、みやこ
1490	渡	085	12	ト、わた-る、わた-す
1491	塗	032	13	ト、ぬ-る
1492	賭	154	16	ト、か-ける
1493	土	032	3	ド、ト、つち
1494	奴	038	5	ド
1495	努	019	7	ド、つと-める
1496	度	053	9	ド、ト、タク、たび
1497	怒	061	9	ド、いか-る、おこ-る
1498	刀	018	2	トウ、かたな
